Icon_ItemMisc_CanvasCloth|CanvasCloth
ClientSprites:Icon_ItemWeapon_Eldan_Glove|Eldan_Glove
Icon_ItemWeaponUnidentified_Weapon_0009|Unidentified_Weapon_0009
Icon_ShieldBlock|Blood
Icon_ItemArmorHands_glove_0003|Water_Glove
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0006
Icon_ItemWeaponSword_UI_Item_Greatsword_001|UI_Item_Greatsword_001
CommunicatorIcon|Burrito
IconSprites:Icon_ItemMisc_GenericTablet|GenericTablet
Icon_CraftingUI_Item_Crafting_Dexterity_Blue|UI_Item_Crafting_Dexterity_Blue
IconSprites:Icon_ItemDyes_UI_Item_Dye_BlueGreen_Light2_Dull_000|UI_Item_Dye_BlueGreen_Light2_Dull_000
Icon_ItemArmor_Heavy_Armor_Helm_03|Heavy_Armor_Helm_03
Icon_ItemArmor_Light_Armor_Pants_04|Light_Armor_Pants_04
Icon_ItemMisc_EMP_Explosive|Magma_Explosive
Icon_ItemArmorChest_shirt_0004|shirt_0004
Icon_ItemWeaponUnidentified_Weapon_0008|Unidentified_Chest_0008
Icon_ItemMisc_Water|Rune_Water
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedOrange_Dark2_Dull_000|UI_Item_Dye_RedOrange_Dark2_Dull_000
ClientSprites:Icon_ItemMisc_Fried_bugmeat|Fried_bugmeat
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Feet_0010
IconSprites:Icon_ItemMisc_Anniversary_Cupcake|Anniversary_Cupcake
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowGreen_Dark2_Dull_000|UI_Item_Dye_YellowGreen_Dark2_Dull_000
Icon_ItemMisc_EMP_Explosive|Sticky_Explosive
Icon_ItemMisc_Generic_tech_paper|Generic_tech_paper
ClientSprites:Icon_ItemMount_Draken_Mount|Draken_Mount
Icon_ItemWeapon_Weapon_Attachment_05|Weapon_Attachment_05
IconSprites:Icon_ItemMount_Hoverboard_HotRod|Hoverboard_Protostar
IconSprites:Icon_ItemMisc_Anniversary_LootBox|Anniversary_LootBox
Icon_ItemArmor_Medium_Armor_Gloves_04|Medium_Armor_Gloves_04
IconSprites:Icon_ItemMisc_Tender_Meat|Tender_Meat
Icon_ItemWeaponUnidentified_Weapon_0008|Unidentified_Head_0008
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0010
Icon_ItemMisc_AirEnergyBall|LifeEnergyBall
Icon_ItemArmor_Medium_Armor_Chest_04|Medium_Armor_Chest_04
IconSprites:Icon_ItemDyes_UI_Item_Dye_Yellow_Primary_Dull_000|UI_Item_Dye_Yellow_Primary_Dull_000
Icon_ItemMisc_Generic_tail_02|Generic_tail_01
IconSprites:Icon_ItemArmor_Medium_Protogames_Pants|Medium_Protogames_Pants
IconSprites:Icon_ItemArmor_Light_Protogames_Boots|Light_Protogames_Boots
IconSprites:Icon_ItemArmor_Medium_Protogames_Shoulder|Medium_Protogames_Shoulder
IconSprites:Icon_Pets_Icon_AugmentedSkeech|Icon_AugmentedSkeech
Icon_ItemMisc_chair_interior|ceiling_interior
Icon_ItemMisc_Slime|Slime
IconSprites:Icon_ItemDyes_UI_Item_Dye_Pink_Primary_000|UI_Item_Dye_Pink_Primary_000
Icon_ItemMisc_Shields_04|Shields_04
Icon_ItemTBF_UI_TBTF_Auroria_Tract_04|UI_TBTF_Auroria_Tract_01
IconSprites:Icon_Pets_Icon_StrainCorruptedBuzzbing|Icon_StrainCorruptedBuzzbing
IconSprites:Icon_Pets_Icon_StrainCorruptedJabbit|Icon_StrainCorruptedJabbit
Icon_ItemMisc_letter_0003|belt_0003
Icon_ItemMisc_PlainCubes|PlainCubes
Icon_ItemMisc_Bag_0001|Bag_01
IconSprites:Icon_ItemDyes_UI_Item_Dye_Red_Dark2_Dull_000|UI_Item_Dye_Red_Dark2_Dull_000
IconSprites:Icon_ItemWeapon_Pistols_Protogames|Pistols_Protogames
Icon_ItemMisc_Roof|Roof
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Trinket_0001
Icon_ItemArmor_Light_Armor_Chest_01|Light_Armor_Chest_01
Icon_Slash|Sconces
IconSprites:Icon_Pets_Icon_GreatGreyGribbonHatchling|Icon_GreatGreyGribbonHatchling
Icon_ItemArmorHead_goggles_0004|goggles_0003
Icon_ItemMisc_Travel_posters|Travel_posters
Icon_ItemMisc_Candle|UI_Item_Candles
Icon_ItemMisc_AdvancedOmniplasm|Rune_Omni
Icon_ItemMisc_Glowmelon_slices|Glowmelon_Pie
Icon_Enrage|Burger
Icon_Orb_Orange|UI_CandyBowl_Orange
IconSprites:Icon_ItemDyes_UI_Item_Dye_Yellow_Light2_Dull_000|UI_Item_Dye_Yellow_Light2_Dull_000
Icon_ItemArmor_Light_Armor_Boots_02|Light_Armor_Boots_02
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Ring_0010
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Weapon_0002
Icon_ItemMisc_bag_0002|Bag_02
IconSprites:Icon_ItemDyes_UI_Item_Dye_Purple_Light1_000|UI_Item_Dye_Purple_Light1_000
Icon_CraftingUI_Item_Crafting_Special2_Green|UI_Item_Crafting_Special2_Green
IconSprites:Icon_ItemDyes_UI_Item_Dye_Tan_Light1_000|UI_Item_Dye_Tan_Light1_000
Icon_ItemArmorHands_Unidentified_Hands_0002|Unidentified_Hands_0002
Icon_ItemWeapon_Weapon_Attachment_01|Weapon_Attachment_01
Icon_ItemMisc_Fences|Fences
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_PowerCore_Orange
Icon_ForceField|Bread
Icon_ItemArmor_Medium_Armor_Gloves_02|Medium_Armor_Gloves_02
Icon_CraftingUI_Item_Crafting_Stamina_Green|UI_Item_Crafting_Stamina_Green
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0004
Icon_ItemArmor_Light_Armor_Helm_05|Light_Armor_Helm_03
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Feet_0009
Icon_ItemMisc_EMP_Explosive|Frost_Explosive
Icon_ItemMisc_Tanks|Tanks
Icon_CraftingUI_Item_Crafting_Challenge_Green|UI_Item_Crafting_Challenge_Purple
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowOrange_Dark1_Dull_000|UI_Item_Dye_YellowOrange_Dark1_Dull_000
Icon_ItemMisc_Standard_omniplasm|Standard_omniplasm
IconSprites:Icon_ItemDyes_UI_Item_Dye_Blue_Light1_Dull_000|UI_Item_Dye_Blue_Light2_Dull_000
Icon_ItemWeaponUnidentified_Weapon_0005|Unidentified_Head_0005
Icon_ChargedShot|Cage
Icon_ItemArmor_Heavy_Armor_Helm_02|Heavy_Armor_Helm_02
IconSprites:Icon_ItemDyes_UI_Item_Dye_Red_Primary_Dull_000|UI_Item_Dye_Red_Primary_Dull_000
Icon_ItemMisc_fur_0001|Femur
ClientSprites:Icon_ItemMisc_DiamondGem|DiamondGem
ClientSprites:Icon_ItemMisc_FalkrinTablet|FalkrinTablet
Icon_ItemArmor_Light_Armor_Helm_01|Light_Armor_Helm_01
IconSprites:Icon_ItemMisc_Stir_Fried_Bugs|Stir_Fried_Bugs
IconSprites:Icon_ItemMisc_SkeechTablet|SkeechTablet
Button_DefenderStanceNormal|BlueRenewshroom
IconSprites:Icon_ItemMisc_LustrousXenolithicStone|LustrousXenolithicStone
Icon_ItemMisc_Meat_kabob|Meat_kabob
Icon_ItemWeapon_Sticky_Grenade|Sticky_Glove
Icon_CraftingUI_Item_Crafting_Tech_Green|UI_Item_Crafting_Tech_Green
ClientSprites:Icon_SkillElemental_life|Generic_judgement_scale
IconSprites:Icon_ItemMisc_Crunchy_bugmeat|Crunchy_bugmeat
ClientSprites:Icon_ItemMisc_Starloom_cloth|Starloom_cloth
ClientSprites:Icon_ItemMisc_LaserPickaxe|LaserPickaxe
Icon_ItemMisc_bag_0002|UI_Item_Bag_002
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Magic_Blue
IconSprites:Icon_ItemDyes_UI_Item_Dye_Green_Primary_000|UI_Item_Dye_Green_Primary_000
ClientSprites:Icon_ItemMisc_Grilled_whole_fish|Grilled_whole_fish
IconSprites:Icon_ItemDyes_UI_Item_Dye_BlueGreen_Dark1_000|UI_Item_Dye_BlueGreen_Dark1_000
Icon_CraftingUI_Item_Crafting_Stamina_Blue|UI_Item_Crafting_Stamina_Blue
IconSprites:Icon_ItemMisc_ClothScraps|ClothScraps
sprGuildCharter_Banner|FreebotBanner
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedOrange_Primary_000|UI_Item_Dye_RedOrange_Primary_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_Yellow_Light1_Dull_000|UI_Item_Dye_Yellow_Light1_Dull_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedOrange_Light1_000|UI_Item_Dye_RedOrange_Light1_000
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowGreen_Primary_Dull_000|UI_Item_Dye_YellowGreen_Primary_Dull_000
Icon_ItemMisc_bushes_large|bushes_large
Icon_ItemMisc_SerpentlilyPlant|SerpentlilyPlant
Icon_ItemMisc_jugs|jugs
IconSprites:Icon_Pets_Icon_PellProbebot|Icon_PellProbebot
IconSprites:Icon_ItemMisc_EldanPowerFragment|EldanPowerFragment
Icon_ItemWeaponUnidentified_Weapon_0006|Unidentified_Trinket_0006
Icon_ItemMisc_Generic_shell_02|Generic_shell_02
IconSprites:Icon_ItemDyes_UI_Item_Dye_Green_Light1_Dull_000|UI_Item_Dye_Green_Light1_Dull_000
IconSprites:Icon_ItemMisc_Amp_Red|Amp_Red
Icon_ItemMisc_egg_0003|UI_Item_Neck_003
Icon_ItemMisc_Shields_01|Shields_01
Icon_ItemWeaponUnidentified_Weapon_0008|Unidentified_Shoulder_0008
IconSprites:Icon_Pets_Icon_LoppSnowpaw|Icon_LoppSnowpaw
Icon_ItemArmorChest_shirt_0003|shirt_0003
Icon_ItemArmorFeet_boot_0004|boot_0004
Icon_ItemArmor_Medium_Armor_Chest_02|Medium_Armor_Chest_02
Icon_ItemMisc_floor_lamps|floor_lamps
Icon_ItemWeapon_Primal_Knife_02|Primal_Knife_02
Icon_ItemArmorFeet_Unidentified_Feet_0001|Unidentified_Chest_0010
ClientSprites:Icon_ItemMount_Mount_Side_Accessory|Mount_Side_Accessory
Icon_Slash|Salad
Icon_ItemWeaponUnidentified_Weapon_0003|Unidentified_Shoulder_0003
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0003
IconSprites:Icon_ItemDyes_UI_Item_Dye_Brown_Light2_000|UI_Item_Dye_Brown_Light2_000
ClientSprites:Icon_ItemMisc_Fishsticks|Fishsticks
IconSprites:Icon_ItemDyes_UI_Item_Dye_Grey_Light2_000|UI_Item_Dye_Grey_Light2_000
IconSprites:Icon_ItemMisc_EldenTransformer|EldenTransformer
Icon_ItemMisc_Wall_exterior|Wall_exterior
Icon_ItemArmorHands_Unidentified_Hands_0002|Unidentified_Hands_0003
ClientSprites:Icon_ItemWeapon_Magma_Gun|Magma_Gun
Icon_ItemArmor_Heavy_Armor_Chest_04|Heavy_Armor_Chest_04
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Buckle_0010
Icon_ItemMisc_BugLegs|BugLegs
ClientSprites:Icon_ItemMisc_Gourmet_pultry|Gourmet_pultry
IconSprites:Icon_ItemMisc_Amp_Purple|Amp_Purple
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Cup_Milk
Icon_ItemMisc_Gadget_02|Gadget_02
Icon_ItemArmor_Light_Armor_Helm_05|Light_Armor_Helm_05
Icon_ItemWeapon_Resonator_05|Resonator_02
Icon_ItemMisc_Gas_Mask|MedicalMask
Icon_ItemMisc_Slimy_Bug_Meat|Slimy_Bug_Meat
Icon_ItemArmor_Light_Armor_Pants_03|Light_Armor_Pants_03
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0001
IconSprites:Icon_ItemArmor_Heavy_Protogames_Chest|Heavy_Protogames_Chest
Icon_ItemArmorHands_UI_Item_Reflex_Glove_001|UI_Item_Reflex_Glove_001
IconSprites:Icon_ItemMisc_EMP_Detonator|Frost_Detonator
Icon_ItemWeapon_Claws_03|Claws_03
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Droplet_Wine
IconSprites:Icon_ItemMisc_Bowlofsoup_creamy|Bowlofsoup_creamy
IconSprites:Icon_ItemMisc_UI_Icon_Token_Datascape_Legs|UI_Icon_Token_Datascape_Legs
Icon_ItemMisc_EMP_Explosive|Toxic_Explosive
Icon_ItemWeapon_Generic_Tech_Bomb|Generic_Tech_Bomb
Icon_ItemArmor_Light_Armor_Pants_05|Light_Armor_Pants_05
Icon_ItemMisc_Generic_plantleaf_01|Generic_scale_01
Icon_ItemArmorFeet_UI_Item_Focal_Boot_001|UI_Item_Focal_Boot_001
IconSprites:Icon_ItemDyes_UI_Item_Dye_GreyCool_Dark2_000|UI_Item_Dye_GreyCool_Dark2_000
IconSprites:Icon_ItemArmor_Marauder_Boots|Marauder_Boots
Icon_ItemArmor_Heavy_Armor_Shoulders_03|Heavy_Armor_Shoulders_03
UI_Item_Arcane_Face|UI_Item_Leaf
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_Powder_Curry
IconSprites:Icon_Pets_Icon_PumeraChuaAugmented|Icon_PumeraChuaAugmented
IconSprites:Icon_ItemArmor_Marauder_Helm|Marauder_Helm
IconSprites:Icon_ItemDyes_UI_Item_Dye_Green_Dark1_000|UI_Item_Dye_Green_Dark1_000
Icon_ItemWeaponUnidentified_Weapon_0004|Unidentified_Trinket_0004
ClientSprites:Icon_ItemMisc_Meat_rice_bowl|Meat_rice_bowl
Icon_ShootRifle|Eldan_Rifle
Icon_ItemMisc_Screens|Screens
Icon_CCStates_vulnerable|Stereo
Icon_ItemMisc_stone_0003|stone_0003
Icon_ItemArmor_Light_Armor_Shoulders_01|Light_Armor_Shoulders_01
Icon_ItemMisc_Medishot_HealOverTime_InstantHeal|Medishot_HealOverTime_InstantHeal
Icon_ItemMisc_IkthianBanner|IkthianBanner
IconSprites:Icon_ItemMount_Hoverboard_Turbine|Hoverboard_Turbine
Icon_ItemWeapon_Weapon_Attachment_03|Weapon_Attachment_03
Icon_ItemMisc_Bottle_01|Bottle_01
Icon_ItemMisc_EldanInsignia|IkthianInsignia
Icon_ItemArmorWaist_belt_0002|belt_0002
IconSprites:Icon_ItemArmor_Light_Protogames_Helm|Light_Protogames_Helm
Icon_ItemMisc_claw_0004|claw_0004
IconSprites:Icon_ItemMount_Datascape_Mount|Datascape_Mount
Icon_ItemMisc_egg_0002|egg_0002
Icon_ItemWeaponUnidentified_Weapon_0003|Unidentified_Chest_0003
ClientSprites:Icon_ItemMisc_ProduceSeeds|ProduceSeeds
Icon_ItemMisc_meat_0004|meat_0004
Icon_Enrage|Wire
Icon_ItemWeaponUnidentified_Weapon_0009|Unidentified_Wrist_0009
Icon_ItemMisc_gadget_0004|gadget_0004
Icon_ItemMisc_Generic_tech_map|Generic_tech_map
Icon_ItemMisc_Bowlofsoup_chunky|Bowlofsoup_chunky
IconSprites:Icon_ItemWeapon_Flash_RocketLauncher|Flash_RocketLauncher
Icon_ItemArmor_Heavy_Armor_Shoulders_01|Heavy_Armor_Shoulders_01
ClientSprites:Icon_ItemMisc_SteelSteamStalks|SteelSteamStalks
CommunicatorIcon|ContractPoints
Icon_CraftingUI_Item_Crafting_Special1_Blue|UI_Item_Crafting_Special2_Blue
ClientSprites:Icon_ItemMisc_BioMemeticMud|BioMemeticMud
IconSprites:Icon_ItemMisc_Juicy_Pultry|Juicy_Pultry
IconSprites:Icon_ItemArmor_Medium_Protogames_Helm|Medium_Protogames_Helm
Icon_ItemArmor_Medium_Armor_Shoulders_05|Medium_Armor_Shoulders_05
IconSprites:Icon_Pets_Icon_SkeechBeastlord|Icon_SkeechBeastlord
Icon_ItemArmor_Heavy_Armor_Chest_03|Heavy_Armor_Chest_03
ClientSprites:Icon_ItemMount_Hoverboard_Front_Accessory|Hoverboard_Front_Accessory
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0005
IconSprites:Icon_ItemMisc_SkeechInsignia|SkeechInsignia
Icon_ItemArmorHands_glove_0002|glove_0002
Icon_ItemMisc_UI_Item_Book|UI_Item_Book
IconSprites:Icon_ItemMisc_Generic_mushroom|Generic_mushroom
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Wrist_0001
IconSprites:Icon_ItemDyes_UI_Item_Dye_BluePurple_Dark1_Dull_000|UI_Item_Dye_BluePurple_Dark1_Dull_000
Icon_Slash|ExileIcon
IconSprites:Icon_CraftingUI_Item_Crafting_Droplet_Yogurt|UI_Item_Crafting_Droplet_Yogurt
ClientSprites:Icon_ItemMisc_DynamicOmniplasm|DynamicOmniplasm
Icon_ItemMisc_grass|grass
Icon_ItemMisc_Portraits|Portraits
Icon_ItemWeapon_Resonator_05|Resonator_05
Icon_ItemMisc_UncorruptibleSoulstone|UncorruptibleSoulstone
UI_Item_Arcane_Face|UI_Item_Arcane_Face
Icon_ItemTBF_UI_TBTF_Auroria_Tract_04|UI_TBTF_Auroria_Tract_04
Icon_ItemMisc_Bowlofsoup_broth|Bowlofsoup_broth
Icon_ItemWeapon_Psyblade_05|Psyblade_05
IconSprites:Icon_CraftingUI_Item_Crafting_Droplet_OliveOil|UI_Item_Crafting_Droplet_OliveOil
IconSprites:Icon_ItemMisc_CrysalusGem|CrysalusGem
IconSprites:Icon_ItemDyes_UI_Item_Dye_Grey_Dark2_000|UI_Item_Dye_Grey_Dark2_000
IconSprites:Icon_Pets_Icon_RainbowGribbonHatchling|Icon_RainbowGribbonHatchling
ClientSprites:Icon_TradeskillMisc_Stonebound_pelt|Stonebound_pelt
Icon_ItemMisc_Generic_magic_orb|Generic_magic_sparkle
Icon_ItemMisc_Table_lamp|Table_lamp
Icon_ItemMisc_UI_Item_Whistle|UI_Item_Whistle
Icon_ItemMisc_RuggedPelt|RuggedPelt
Icon_ItemMisc_cabinet|cabinet
Icon_ItemMisc_stone_0004|stone_0004
Icon_ItemMisc_dart_board|Hoverboard
Icon_ItemArmorLegs_Unidentified_Legs_0001|Unidentified_Legs_0007
IconSprites:Icon_ItemDyes_UI_Item_Dye_Purple_Dark1_000|UI_Item_Dye_Purple_Dark1_000
Icon_ItemMisc_lamp_posts|lamp_posts
Icon_ItemMisc_Table_medium|Table_medium
IconSprites:Icon_ItemMisc_HeavyFusedBone|HeavyFusedBone
Icon_ItemMisc_Generic_rope_02|Generic_ring_03
IconSprites:Icon_ItemDyes_UI_Item_Dye_YellowOrange_Light2_000|UI_Item_Dye_YellowOrange_Light2_000
ClientSprites:Icon_ItemMisc_AugmentedLeather|AugmentedLeather
ClientSprites:Icon_ItemMisc_Generic_toolbox|Generic_toolbox
QuestComplete|Meat_pie
IconSprites:Icon_ItemWeapon_Corrupted_Grenade|Corrupted_Grenade
Icon_ItemMisc_SkeechBanner|SkeechBanner
IconSprites:Icon_ItemArmor_Marauder_Shoulders|Marauder_Shoulders
Icon_ShootRifle|Shovel
IconSprites:Icon_ItemMisc_Amp_Yellow|Amp_Yellow
Icon_ItemMisc_bed|bed
Icon_ItemWeaponSword_sword2H_0001|sword2H_0001
IconSprites:Icon_ItemMount_Icon_Mount_ProtostarEnforcer|Icon_Mount_ProtostarEnforcer
Icon_ItemWeaponUnidentified_Weapon_0004|Unidentified_Weapon_0004
IconSprites:Icon_ItemMisc_UI_Icon_Token_Datascape_Hands|UI_Icon_Token_Datascape_Hands
ClientSprites:Icon_ItemMisc_DarkspurInsignia|DarkspurInsignia
Icon_ItemWeapon_Weapon_Attachment_02|Weapon_Attachment_02
IconSprites:Icon_CraftingUI_Item_Crafting_Droplet_CitricAcid|UI_Item_Crafting_Droplet_CitricAcid
Icon_ItemMisc_Generic_tech_paper|Generic_screwdriver
IconSprites:Icon_ItemDyes_UI_Item_Dye_BlueGreen_Dark1_Dull_000|UI_Item_Dye_BlueGreen_Dark1_Dull_000
Icon_ItemWeaponUnidentified_Weapon_0007|Unidentified_Head_0007
Icon_ItemMisc_pick_0001|pick_0001
IconSprites:Icon_ItemWeapon_Tech_Knife_02|Tech_Knife_02
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Weapon_0001
IconSprites:Icon_ItemDyes_UI_Item_Dye_Red_Light1_000|UI_Item_Dye_Red_Light1_000
Icon_ItemMisc_BrokenEldanTech|mass_rename.py
Icon_ForceField|Rune_Fire
Icon_ItemMisc_ChuaFace|ChuaFace
Icon_ItemMisc_UI_Item_Stick|UI_Item_Stick
Icon_ItemArmor_Medium_Armor_Helm_03|Medium_Armor_Helm_03
Icon_ItemArmorChest_shirt_0001|shirt_0001
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Head_0001
Icon_ItemMisc_EMP_Rifle|EMP_Rifle
IconSprites:Icon_ItemMount_Hoverboard_HotRod|Hoverboard_HotRod
Icon_ItemMisc_Generic_Torch|Generic_Torch
Icon_ItemMisc_Tough_meat|Tough_meat
IconSprites:Icon_CraftingUI_Item_Crafting_Droplet_FireSauce|UI_Item_Crafting_Droplet_FireSauce
Icon_ItemArmor_Light_Armor_Gloves_02|Light_Armor_Gloves_02
Icon_ItemMisc_book_shelf|book_shelf
ClientSprites:Icon_TradeskillMisc_SapphireGem|SapphireGem
UI_Item_Crafting_PowerCore_Blue|UI_Item_Crafting_PowerCore_Blue
ClientSprites:Icon_ItemMisc_RelicBlaster|RelicBlaster
IconSprites:Icon_ItemMisc_Small_fish|Small_fish
Icon_ItemWeaponUnidentified_Weapon_0007|Unidentified_Wrist_0007
IconSprites:Icon_ItemMount_Exile_Human_Mount|Exile_Human_Mount
IconSprites:Icon_ItemMisc_UI_CandyBowl_Magenta|UI_CandyBowl_Magenta
Icon_ItemMisc_SurvivalSupplyStash|SurvivalSupplyStash
Icon_ItemMisc_Mechanical_objects|Mechanical_objects
IconSprites:Icon_ItemDyes_UI_Item_Dye_BlueGreen_Primary_Dull_000|UI_Item_Dye_BlueGreen_Primary_Dull_000
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Shoulder_0001
Icon_ItemWeapon_Sticky_Gun|Sticky_Gun
Icon_ItemMisc_Spirovine_plant|Spirovine_plant
Icon_ItemMisc_Gadget_04|Gadget_04
Icon_ItemMisc_Flags|Flags
IconSprites:Icon_Pets_Icon_LavenderJelibolli|Icon_LavenderJelibolli
IconSprites:Icon_CraftingUI_Item_Crafting_Spice_Shaker_UltrafineSugar|UI_Item_Crafting_Spice_Shaker_UltrafineSugar
Icon_ItemArmor_Light_Armor_Pants_01|Light_Armor_Pants_01
Icon_ItemArmor_Medium_Armor_Chest_01|Medium_Armor_Chest_01
Icon_ItemArmor_Light_Armor_Boots_01|Light_Armor_Boots_01
UI_Item_Arcane_Face|UI_Item_Focal_Face
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedPurple_Light1_Dull_000|UI_Item_Dye_RedPurple_Light1_Dull_000
Icon_CraftingUI_Item_Crafting_Magic_Green|UI_Item_Crafting_Magic_Purple
IconSprites:Icon_ItemDyes_UI_Item_Dye_Purple_Dark2_Dull_000|UI_Item_Dye_Purple_Dark2_Dull_000
Icon_ItemTBF_UI_TBTF_Wilderrun_Tract_01|UI_TBTF_Deradune_Tract_03
Icon_ItemMisc_Venom|Venom
Icon_ItemWeaponUnidentified_Weapon_0001|Unidentified_Weapon_0010
Icon_ItemMisc_Generic_rope_02|Generic_pelt
IconSprites:Icon_ItemDyes_UI_Item_Dye_Yellow_Primary_000|UI_Item_Dye_Yellow_Primary_000
Icon_ItemMisc_meat_0003|meat_0003
IconSprites:Icon_ItemMount_Hoverboard_Strain|Hoverboard_Strain
Icon_ItemMisc_Stoves|flower_boxes
Icon_ItemWeaponUnidentified_Weapon_0006|Unidentified_Face_0006
Icon_ItemWeaponUnidentified_Weapon_0002|Unidentified_Face_0002
Icon_ItemMisc_Generic_rope_02|Generic_rope_02
IconSprites:Icon_ItemDyes_UI_Item_Dye_RedPurple_Dark2_Dull_000|UI_Item_Dye_RedPurple_Dark2_Dull_000
Icon_ItemMisc_bushes_small|bushes_small
CommunicatorIcon|fountain
Icon_ItemMisc_GenericIntestines|GenericIntestines
Icon_ItemMisc_tooth_0002|Generic_tooth_02
IconSprites:Icon_Pets_Icon_LoppMarshall|Icon_LoppMarshall
Icon_ItemWeapon_Pistol_04|Pistol_04
IconSprites:Icon_ItemDyes_UI_Item_Dye_GreyCool_Dark1_000|UI_Item_Dye_GreyCool_Dark1_000
Icon_ItemWeapon_Launcher_05|Launcher_05
Icon_ItemArmor_Medium_Armor_Boots_04|Medium_Armor_Boots_04
IconSprites:Icon_ItemWeapon_Water_Grenade|Water_Grenade
